lookback_bars,z_entry,z_exit,confirm_bars,stop_multiple,momentum_threshold,min_hold_bars,skip_first_minutes,profit_factor,win_rate,sharpe,sortino,calmar,net_pnl,max_dd_pct,max_dd_dollars,total_trades,avg_winner,avg_loser,expectancy,avg_hold_bars,best_day,worst_day
30,1.5,0.3,3,4.0,0.75,3,0,0.8974622393444626,0.4818731117824773,-0.4513210515353335,-0.5643647686837644,-1.3681462140992204,-20960.00000000006,0.1455789423670832,15320.0,1324,287.543103448276,-297.97740524781364,-15.830815709969826,17.406344410876134,2625.0,-5845.0
30,1.5,0.3,3,2.0,0.75,3,0,0.9193949545708336,0.478134110787172,-0.6985277966757609,-0.9406309252301026,-0.8282336578581403,-11910.000000000058,0.13749581679973227,14380.0,1372,207.08460365853676,-206.36522346368739,-8.680758017492758,11.059766763848396,2090.0,-2020.0
30,1.5,0.3,3,2.0,0.65,3,0,0.9140962876775479,0.4781818181818182,-1.083743719892791,-1.477813780380979,-0.6650237933378693,-9782.500000000058,0.14333041021143916,14710.0,1100,197.89923954372637,-198.39285714285734,-8.893181818181864,10.128181818181819,3385.0,-1865.0
30,1.5,0.3,3,2.0,0.75,5,30,0.8830656567243916,0.4807098765432099,-0.6265060634824389,-0.8115753596973662,-1.1863839285714397,-18602.500000000175,0.14982561750513593,15680.0,1296,225.49357945425362,-236.38187221396757,-14.35378086419766,13.543981481481481,2340.0,-3395.0
30,1.5,0.3,3,4.0,0.75,5,30,0.9115346956422216,0.48501577287066244,-0.14050961078753757,-0.18596732577306924,-1.0383582089552335,-17392.50000000016,0.1584673604541154,16750.0,1268,291.3983739837399,-301.07580398162355,-13.716482649842401,19.42744479495268,3815.0,-5215.0
30,1.5,0.3,3,3.0,0.65,3,0,0.9369698374973428,0.48985239852398527,-0.8305994941107936,-1.1007169493344655,-0.46401137980085677,-8155.000000000058,0.16483001172332942,17575.0,1084,228.30037664783418,-233.96473779385175,-7.523062730627363,12.780442804428045,3385.0,-3470.0
30,1.5,0.3,3,4.0,0.65,5,0,0.9178285329908881,0.4803370786516854,-0.5603917900434376,-0.7507288345531541,-0.8529038400507831,-13437.500000000087,0.151323056235893,15755.0,1068,292.5779727095518,-294.64864864864893,-12.581928838951388,17.60112359550562,3815.0,-4165.0
30,1.5,0.5,2,3.0,0.75,3,30,0.9756030480604924,0.4974896633195511,-0.9186979399070861,-1.1966029646140155,-0.4950885548444596,-16632.49999999962,0.3166501720156464,33595.0,6772,197.42134164440503,-200.33646782250963,-2.4560691080920884,9.592587123449498,3930.0,-8120.0
30,1.5,0.3,3,2.0,0.75,5,0,0.9186435990412382,0.48008849557522126,-0.49952988819792166,-0.6606078133135448,-0.9900897531787703,-13237.50000000016,0.12832325559074767,13370.0,1356,229.60445468509988,-230.794326241135,-9.762168141593035,12.530973451327434,2340.0,-2540.0
30,1.5,0.5,3,2.0,0.75,3,30,0.9128162511542007,0.4825227963525836,-0.35888001743832193,-0.481900843313786,-1.0303360977739067,-11802.500000000102,0.10952813500980065,11455.0,1316,194.60236220472459,-198.7885462555069,-8.968465045592781,11.540273556231003,2090.0,-3160.0
30,1.5,0.5,3,3.0,0.65,3,30,0.9775232866849656,0.4942528735632184,-0.49036312224199147,-0.6568588685086958,-0.21391862955032617,-2497.500000000058,0.11231361231361231,11675.0,1044,210.499031007752,-210.44507575757592,-2.392241379310395,11.647509578544062,3385.0,-3470.0
30,1.5,0.3,2,3.0,0.65,5,30,0.9688246697624089,0.49785714285714283,-0.7583048309707332,-1.042818437841707,-0.6370336250575843,-20745.000000000233,0.31661076272422345,32565.0,5600,231.23565279770432,-236.63940256045515,-3.7044642857143266,12.387857142857143,5130.0,-6640.0
30,1.5,0.5,3,3.0,0.65,3,0,0.9515815034225782,0.4899267399267399,-0.5767314210379593,-0.7613845445360053,-0.4269102990033244,-5782.500000000029,0.12912297426120115,13545.0,1092,212.42056074766367,-214.41202872531437,-5.295329670329702,11.553113553113553,3385.0,-3470.0
